
---- CODIGOS SHANNON FANO ----

CARACTER -----     PROBABILIDAD     ------     CODIGO     -----     INFORMACION     -----     ENTROPIA TOTAL     -----     LONG MEDIA     ----     RENDIMIENTO     --- REDUNDANCIA

- que -			0,058				00000 			 4,118			 9,228				 9,307			 0,992		 0,008
- ir -			0,001				1000101001 			 10,077				- 					- 
- alguna -			0,001				1000101010 			 10,077				- 					- 
- qué -			0,001				1000101011 			 10,077				- 					- 
- mis -			0,001				1000101100 			 10,077				- 					- 
- hasta -			0,001				1000101101 			 10,077				- 					- 
- tener -			0,001				1000101110 			 10,077				- 					- 
- todas -			0,001				1000101111 			 10,077				- 					- 
- quién -			0,001				10001100000 			 10,077				- 					- 
- barca, -			0,001				10001100001 			 10,184				- 					- 
- son -			0,001				1000110001 			 10,184				- 					- 
- Lela -			0,001				1000110010 			 10,184				- 					- 
- antes -			0,001				1000110011 			 10,184				- 					- 
- ninguna -			0,001				1000110100 			 10,184				- 					- 
- he -			0,001				1000110101 			 10,184				- 					- 
- cuanto -			0,001				1000110110 			 10,184				- 					- 
- pues, -			0,001				1000110111 			 10,184				- 					- 
- podía -			0,001				10001110000 			 10,184				- 					- 
- llegó -			0,001				10001110001 			 10,184				- 					- 
- manera -			0,001				1000111001 			 10,184				- 					- 
- bajel -			0,001				1000111010 			 10,300				- 					- 
- nuestra -			0,001				1000111011 			 10,300				- 					- 
- renegado, -			0,001				1000111100 			 10,300				- 					- 
- cada -			0,001				1000111101 			 10,300				- 					- 
- mucha -			0,001				1000111110 			 10,300				- 					- 
- barca -			0,001				1000111111 			 10,300				- 					- 
- pues -			0,001				10010000000 			 10,300				- 					- 
- os -			0,001				10010000001 			 10,300				- 					- 
- mas -			0,001				1001000001 			 10,300				- 					- 
- hermano -			0,001				10010000100 			 10,300				- 					- 
- sobre -			0,001				10010000101 			 10,300				- 					- 
- demás -			0,001				1001000011 			 10,300				- 					- 
- mal -			0,001				10010001000 			 10,300				- 					- 
- dijo: -			0,001				10010001001 			 10,300				- 					- 
- señor -			0,001				1001000101 			 10,300				- 					- 
- jardín -			0,001				1001000110 			 10,425				- 					- 
- cautivos -			0,001				1001000111 			 10,425				- 					- 
- casa -			0,001				10010010000 			 10,425				- 					- 
- y, -			0,001				10010010001 			 10,425				- 					- 
- ninguno -			0,001				1001001001 			 10,425				- 					- 
- tengo -			0,001				10010010100 			 10,425				- 					- 
- parecer -			0,001				10010010101 			 10,425				- 					- 
- tres -			0,001				1001001011 			 10,425				- 					- 
- tu -			0,001				1001001100 			 10,425				- 					- 
- vuestra -			0,001				1001001101 			 10,425				- 					- 
- buena -			0,001				1001001110 			 10,425				- 					- 
- casi -			0,001				1001001111 			 10,425				- 					- 
- fuera -			0,001				10010100000 			 10,425				- 					- 
- lengua -			0,001				10010100001 			 10,563				- 					- 
- tierra, -			0,001				1001010001 			 10,563				- 					- 
- vimos -			0,001				10010100100 			 10,563				- 					- 
- Marién -			0,001				10010100101 			 10,563				- 					- 
- eran -			0,001				1001010011 			 10,563				- 					- 
- fuese -			0,001				10010101000 			 10,563				- 					- 
- vio -			0,001				10010101001 			 10,563				- 					- 
- viendo -			0,001				1001010101 			 10,563				- 					- 
- Yo -			0,001				10010101100 			 10,563				- 					- 
- cuales -			0,001				10010101101 			 10,563				- 					- 
- aun -			0,001				1001010111 			 10,563				- 					- 
- vida -			0,001				10010110000 			 10,563				- 					- 
- quiso -			0,001				10010110001 			 10,563				- 					- 
- don -			0,001				1001011001 			 10,563				- 					- 
- hija -			0,001				10010110100 			 10,563				- 					- 
- padre, -			0,001				10010110101 			 10,715				- 					- 
- orden -			0,001				1001011011 			 10,715				- 					- 
- quiere -			0,001				10010111000 			 10,715				- 					- 
- Alá -			0,001				10010111001 			 10,715				- 					- 
- muchos -			0,001				1001011101 			 10,715				- 					- 
- cristiano, -			0,001				10010111100 			 10,715				- 					- 
- otros -			0,001				10010111101 			 10,715				- 					- 
- yo, -			0,001				1001011111 			 10,715				- 					- 
- escudos -			0,001				10011000000 			 10,715				- 					- 
- hecho -			0,001				10011000001 			 10,715				- 					- 
- muchas -			0,001				10011000010 			 10,715				- 					- 
- diciendo -			0,001				10011000011 			 10,715				- 					- 
- manera, -			0,001				10011000100 			 10,715				- 					- 
- poner -			0,001				10011000101 			 10,715				- 					- 
- -dijo -			0,001				1001100011 			 10,715				- 					- 
- cautivo -			0,001				10011001000 			 10,715				- 					- 
- algunos -			0,001				10011001001 			 10,715				- 					- 
- lugar -			0,001				10011001010 			 10,715				- 					- 
- aquellas -			0,001				10011001011 			 10,715				- 					- 
- parte -			0,001				10011001100 			 10,715				- 					- 
- Dios -			0,001				10011001101 			 10,715				- 					- 
- ojos -			0,001				1001100111 			 10,715				- 					- 
- caña -			0,001				10011010000 			 10,715				- 					- 
- Pero -			0,001				10011010001 			 10,715				- 					- 
- aquí -			0,001				10011010010 			 10,715				- 					- 
- estaban -			0,001				10011010011 			 10,715				- 					- 
- estos -			0,001				10011010100 			 10,715				- 					- 
- papel -			0,001				10011010101 			 10,885				- 					- 
- mil -			0,001				1001101011 			 10,885				- 					- 
- dicho, -			0,001				10011011000 			 10,885				- 					- 
- remo, -			0,001				10011011001 			 10,885				- 					- 
- tú -			0,001				1001101101 			 10,885				- 					- 
- moro -			0,001				10011011100 			 10,885				- 					- 
- daba -			0,001				10011011101 			 10,885				- 					- 
- jamás -			0,001				1001101111 			 10,885				- 					- 
- nuestras -			0,001				10011100000 			 10,885				- 					- 
- ella, -			0,001				10011100001 			 10,885				- 					- 
- mar, -			0,001				10011100010 			 10,885				- 					- 
- mí -			0,001				10011100011 			 10,885				- 					- 
- nunca -			0,001				10011100100 			 10,885				- 					- 
- moros, -			0,001				10011100101 			 10,885				- 					- 
- suerte -			0,001				10011100110 			 10,885				- 					- 
- No -			0,001				10011100111 			 10,885				- 					- 
- Con -			0,001				10011101000 			 10,885				- 					- 
- hija, -			0,001				10011101001 			 10,885				- 					- 
- quedó -			0,001				10011101010 			 10,885				- 					- 
- primero -			0,001				10011101011 			 10,885				- 					- 
- vino -			0,001				10011101100 			 10,885				- 					- 
- sé -			0,001				10011101101 			 10,885				- 					- 
- siendo -			0,001				1001110111 			 10,885				- 					- 
- dado -			0,001				10011110000 			 10,885				- 					- 
- pudiera -			0,001				10011110001 			 10,885				- 					- 
- muestras -			0,001				10011110010 			 10,885				- 					- 
- capitán, -			0,001				10011110011 			 10,885				- 					- 
- tomó -			0,001				10011110100 			 10,885				- 					- 
- deseo -			0,001				10011110101 			 10,885				- 					- 
- manos -			0,001				1001111011 			 10,885				- 					- 
- punto -			0,001				10011111000 			 10,885				- 					- 
- grande -			0,001				10011111001 			 10,885				- 					- 
- suceso -			0,001				10011111010 			 10,885				- 					- 
- algún -			0,001				10011111011 			 10,885				- 					- 
- dieron -			0,001				10011111100 			 10,885				- 					- 
- tal -			0,001				10011111101 			 10,885				- 					- 
- caña, -			0,000				1001111111 			 11,077				- 					- 
- papel, -			0,000				101000000000 			 11,077				- 					- 
- baño, -			0,000				101000000001 			 11,077				- 					- 
- amo -			0,000				10100000001 			 11,077				- 					- 
- turcos -			0,000				10100000010 			 11,077				- 					- 
- Agi -			0,000				10100000011 			 11,077				- 					- 
- no, -			0,000				10100000100 			 11,077				- 					- 
- verdad -			0,000				10100000101 			 11,077				- 					- 
- tienen -			0,000				10100000110 			 11,077				- 					- 
- fuerza -			0,000				10100000111 			 11,077				- 					- 
- comenzó -			0,000				101000010000 			 11,077				- 					- 
- entonces -			0,000				101000010001 			 11,077				- 					- 
- entender -			0,000				10100001001 			 11,077				- 					- 
- días -			0,000				10100001010 			 11,077				- 					- 
- día -			0,000				10100001011 			 11,077				- 					- 
- A -			0,000				10100001100 			 11,077				- 					- 
- haber -			0,000				10100001101 			 11,077				- 					- 
- gente -			0,000				10100001110 			 11,077				- 					- 
- desde -			0,000				10100001111 			 11,077				- 					- 
- respondió -			0,000				101000100000 			 11,077				- 					- 
- después -			0,000				101000100001 			 11,077				- 					- 
- mesmo -			0,000				10100010001 			 11,077				- 					- 
- libertad -			0,000				10100010010 			 11,077				- 					- 
- sido -			0,000				10100010011 			 11,077				- 					- 
- está -			0,000				10100010100 			 11,077				- 					- 
- aún -			0,000				10100010101 			 11,077				- 					- 
- saber -			0,000				10100010110 			 11,077				- 					- 
- alguno -			0,000				10100010111 			 11,077				- 					- 
- buscar -			0,000				10100011000 			 11,077				- 					- 
- dije -			0,000				10100011001 			 11,077				- 					- 
- hizo -			0,000				10100011010 			 11,077				- 					- 
- cristiana -			0,000				10100011011 			 11,077				- 					- 
- hablar -			0,000				10100011100 			 11,077				- 					- 
- palabra, -			0,000				10100011101 			 11,077				- 					- 
- capitán -			0,000				10100011110 			 11,077				- 					- 
- causa -			0,000				10100011111 			 11,077				- 					- 
- nuevas -			0,000				101001000000 			 11,077				- 					- 
- España, -			0,000				101001000001 			 11,077				- 					- 
- iba -			0,000				10100100001 			 11,077				- 					- 
- llamaba -			0,000				10100100010 			 11,077				- 					- 
- estando -			0,000				10100100011 			 11,077				- 					- 
- -respondió -			0,000				101001001000 			 11,077				- 					- 
- rey -			0,000				101001001001 			 11,300				- 					- 
- decía, -			0,000				10100100101 			 11,300				- 					- 
- dentro -			0,000				10100100110 			 11,300				- 					- 
- cristianos. -			0,000				10100100111 			 11,300				- 					- 
- peligro -			0,000				101001010000 			 11,300				- 					- 
- volvió -			0,000				101001010001 			 11,300				- 					- 
- llegando -			0,000				10100101001 			 11,300				- 					- 
- mala -			0,000				10100101010 			 11,300				- 					- 
